GPK;ATC;HoofdGroep;SubGroep;Generiek;Product;Etiket;Vorm;Route;Sterkte;Eenheid;StandDose;DoseEenheid;Indicaties;InFormDb
88862;B03XA01;MIDDELEN BIJ ANEMIE;OVERIGE MIDDELEN BIJ ANEMIE;EPOETINE;EPREX  2000 INJVLST 4000 IE/ML WWSP 0.5 ML;EPOETINE ALFA 4000IE/ML INJ;injectievloeistof;iv||sc;4.000.00;IE/ml;4.000.00;IE;Anemie door chronische nierinsufficiëntie bij hemodialysepatiënten||Anemie bij pre-terminale nierinsufficientie||Anemie bij terminale nierinsufficientie: peritoneaal dialyse||Anemie bij terminale nierinsufficientie: haemodialyse;88862
88870;B03XA01;MIDDELEN BIJ ANEMIE;OVERIGE MIDDELEN BIJ ANEMIE;EPOETINE;EPREX  3000 IE/0,3 ML INJVLST WWSP 0,3ML;EPOETINE ALFA 10000IE/ML IN;injectievloeistof;iv||sc;10.000.00;IE/ml;10.000.00;IE;Anemie door chronische nierinsufficiëntie bij hemodialysepatiënten||Anemie bij pre-terminale nierinsufficientie||Anemie bij terminale nierinsufficientie: peritoneaal dialyse||Anemie bij terminale nierinsufficientie: haemodialyse;88870
108022;B03XA01;MIDDELEN BIJ ANEMIE;OVERIGE MIDDELEN BIJ ANEMIE;EPOETINE;EPREX 40000 IE/ML WWSP 1 ML;EPOETINE ALFA 40000IE/ML IN;injectievloeistof;iv||sc;40.000.00;IE/ml;40.000.00;IE;Anemie door chronische nierinsufficiëntie bij hemodialysepatiënten||Anemie bij pre-terminale nierinsufficientie||Anemie bij terminale nierinsufficientie: peritoneaal dialyse||Anemie bij terminale nierinsufficientie: haemodialyse;108022
114081;B03XA01;MIDDELEN BIJ ANEMIE;OVERIGE MIDDELEN BIJ ANEMIE;EPOETINE;NEORECORMON 2000 IE/0.3 ML WEGWERPSPUIT;EPOETINE BETA 6667IE/ML INJ;injectievloeistof;iv||sc;6.667.00;IE/ml;6.667.00;IE;Anemie door chronische nierinsufficiëntie bij hemodialysepatiënten||Anemie bij pre-terminale nierinsufficientie||Anemie bij terminale nierinsufficientie: peritoneaal dialyse||Anemie bij terminale nierinsufficientie: haemodialyse;114081
114103;B03XA01;MIDDELEN BIJ ANEMIE;OVERIGE MIDDELEN BIJ ANEMIE;EPOETINE;NEORECORMON  3000 IE/0,3 ML WEGWERPSPUIT;EPOETINE BETA 10000IE/ML IN;injectievloeistof;iv||sc;10.000.00;IE/ml;10.000.00;IE;Anemie door chronische nierinsufficiëntie bij hemodialysepatiënten||Anemie bij pre-terminale nierinsufficientie||Anemie bij terminale nierinsufficientie: peritoneaal dialyse||Anemie bij terminale nierinsufficientie: haemodialyse;114103
114111;B03XA01;MIDDELEN BIJ ANEMIE;OVERIGE MIDDELEN BIJ ANEMIE;EPOETINE;NEORECORMON 4000 IE/0,3ML WEGWERPSPUIT;EPOETINE BETA 13333IE/ML IN;injectievloeistof;iv||sc;13.333.00;IE/ml;13.333.00;IE;Anemie door chronische nierinsufficiëntie bij hemodialysepatiënten||Anemie bij pre-terminale nierinsufficientie||Anemie bij terminale nierinsufficientie: peritoneaal dialyse||Anemie bij terminale nierinsufficientie: haemodialyse;114111
114065;B03XA01;MIDDELEN BIJ ANEMIE;OVERIGE MIDDELEN BIJ ANEMIE;EPOETINE;NEORECORMON  5000 INJVLST 16667IE/ML WWSP 0,3ML;EPOETINE BETA 16667IE/ML IN;injectievloeistof;iv||sc;16.667.00;IE/ml;16.667.00;IE;Anemie door chronische nierinsufficiëntie bij hemodialysepatiënten||Anemie bij pre-terminale nierinsufficientie||Anemie bij terminale nierinsufficientie: peritoneaal dialyse||Anemie bij terminale nierinsufficientie: haemodialyse;114065
114138;B03XA01;MIDDELEN BIJ ANEMIE;OVERIGE MIDDELEN BIJ ANEMIE;EPOETINE;NEORECORMON 6000 IE/0,3ML WEGWERPSPUIT;EPOETINE BETA 20000IE/ML IN;injectievloeistof;iv||sc;20.000.00;IE/ml;20.000.00;IE;Anemie door chronische nierinsufficiëntie bij hemodialysepatiënten||Anemie bij pre-terminale nierinsufficientie||Anemie bij terminale nierinsufficientie: peritoneaal dialyse||Anemie bij terminale nierinsufficientie: haemodialyse;114138
87920;B01AC09;ANTITHROMBOTICA;ANTITHROMBOTICA;EPOPROSTENOL;FLOLAN 500 MICROG INFPDR + SOLV 2 X 50ML;EPOPROSTENOL 500UG INFPDR;poeder voor oplossing voor infusie;iv;500.00;mcg/stuk;500.00;mcg;Primaire pulmonale hypertensie, sepsis met sterk verminderde circulatie;87920
119598;D10AF02;ACNEPREPARATEN;ACNEPREPARATEN, LOKALE;ERYTROMYCINE;INDERM  1% APPLICATIEVLOEISTOF 50 ML;ERYTROMYCINE 10MG/G OPL CUT;oplossing voor cutaan gebruik;cutaan;10.00;mg/gr;10.00;mg;Acne vulgaris;119598
73318;J01FA01;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;MACROLIDEN, LINCOSAMIDEN EN STREPTOGRAMINEN;ERYTROMYCINE;ERYTHROCINE 1000 MG PDR VOOR INJ VLST;ERYTROMYCINE 1G INFPDR;poeder voor oplossing voor infusie;iv;1.00;gr/stuk;1.00;gr;Infecties||Gestoorde maaglediging (prokineticum)||Chlamydia trachomatis ||Chlamydia trachomatis;73318
54607;J01FA01;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;MACROLIDEN, LINCOSAMIDEN EN STREPTOGRAMINEN;ERYTROMYCINE;ERYTHROCINE-ES 25 MG/ML SUSP KERSEN;ERYTROMYCINE 25MG/ML SUSP;suspensie voor oraal gebruik;or;25.00;mg/ml;25.00;mg;Infecties||Gestoorde maaglediging (prokineticum)||Chlamydia trachomatis ||Chlamydia trachomatis;54607
54593;J01FA01;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;MACROLIDEN, LINCOSAMIDEN EN STREPTOGRAMINEN;ERYTROMYCINE;ERYTHROCINE-ES 50 MG/ML SUSPENSIE;ERYTROMYCINE 50MG/ML SUSP;suspensie voor oraal gebruik;or;50.00;mg/ml;50.00;mg;Infecties||Gestoorde maaglediging (prokineticum)||Chlamydia trachomatis ||Chlamydia trachomatis;54593
15113;J01FA01;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;MACROLIDEN, LINCOSAMIDEN EN STREPTOGRAMINEN;ERYTROMYCINE;ERYTHROCINE 250 MG TABLET;ERYTROMYCINE 250MG TABLET;tablet;or;250.00;mg/stuk;250.00;mg;Infecties||Gestoorde maaglediging (prokineticum)||Chlamydia trachomatis ||Chlamydia trachomatis;15113
51691;J01FA01;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;MACROLIDEN, LINCOSAMIDEN EN STREPTOGRAMINEN;ERYTROMYCINE;ERYTHROCINE-ES 500 MG TABLET;ERYTROMYCINE 500MG TABLET;tablet;or;500.00;mg/stuk;500.00;mg;Infecties||Gestoorde maaglediging (prokineticum)||Chlamydia trachomatis ||Chlamydia trachomatis;51691
107034;N01AX14;ANAESTHETICA;ALGEMENE ANAESTHETICA;ESKETAMINE;ESKETAMINE S 5 MG/ML 20ML MULTI-DOSE;ESKETAMINE 5MG/ML INJVLST;injectievloeistof;im||iv;5.00;mg/ml;5.00;mg;Anesthesie||Pijn, post operatief;107034
107042;N01AX14;ANAESTHETICA;ALGEMENE ANAESTHETICA;ESKETAMINE;ESKETAMINE S 25 MG/ML FLACON 10ML;ESKETAMINE 25MG/ML INJVLST;injectievloeistof;im||iv;25.00;mg/ml;25.00;mg;Anesthesie||Pijn, post operatief;107042
82651;C07AB09;BETA-BLOKKERS;BETA-BLOKKERS;ESMOLOL;ESMOLOL 250 MG/ML AMPUL 10 ML INFVLST;ESMOLOL 250MG/ML INFOP CONC;concentraat voor oplossing voor infusie;iv;250.00;mg/ml;250.00;mg;Supraventriculaire tachycardie, Peri-operatieve hypertensie en aritmieën;82651
93351;C07AB09;BETA-BLOKKERS;BETA-BLOKKERS;ESMOLOL;ESMOLOL HCL 10 MG/ML FLACON 10 ML;ESMOLOL 10MG/ML INJVLST;injectievloeistof;iv;10.00;mg/ml;10.00;mg;Supraventriculaire tachycardie, Peri-operatieve hypertensie en aritmieën;93351
129623;A02BC05;MIDDELEN BIJ ZUURGERELATEERDE AFWIJKINGEN;MIDDELEN BIJ ULCUS PEPTICUM EN GASTRO-OESOFAGEALE REFLUX;ESOMEPRAZOL;NEXIUM 10 MG GRANULAAT MSR SACHET;ESOMEPRAZOL 10MG GRAN VOOR;granulaat voor orale suspensie;or;10.00;mg/stuk;10.00;mg;Gastro-oesofageale reflux ziekte||Eradicatie H.Pylori (triple therapie)||Reflux oesophagitis;129623
134694;A02BC05;MIDDELEN BIJ ZUURGERELATEERDE AFWIJKINGEN;MIDDELEN BIJ ULCUS PEPTICUM EN GASTRO-OESOFAGEALE REFLUX;ESOMEPRAZOL;ESOMEPRAZOL 40 MG CAPSULE MSR;ESOMEPRAZOL 40MG CAPS MSR;maagsapresistente capsule;or;40.00;mg/stuk;40.00;mg;Gastro-oesofageale reflux ziekte||Eradicatie H.Pylori (triple therapie)||Reflux oesophagitis;134694
111899;A02BC05;MIDDELEN BIJ ZUURGERELATEERDE AFWIJKINGEN;MIDDELEN BIJ ULCUS PEPTICUM EN GASTRO-OESOFAGEALE REFLUX;ESOMEPRAZOL;NEXIUM 20 MG TABLET MSR;ESOMEPRAZOL 20MG TABLET MSR;maagsapresistente tablet;or;20.00;mg/stuk;20.00;mg;Gastro-oesofageale reflux ziekte||Eradicatie H.Pylori (triple therapie)||Reflux oesophagitis;111899
111880;A02BC05;MIDDELEN BIJ ZUURGERELATEERDE AFWIJKINGEN;MIDDELEN BIJ ULCUS PEPTICUM EN GASTRO-OESOFAGEALE REFLUX;ESOMEPRAZOL;NEXIUM 40 MG TABLET MSR;ESOMEPRAZOL 40MG TABLET MSR;maagsapresistente tablet;or;40.00;mg/stuk;40.00;mg;Gastro-oesofageale reflux ziekte||Eradicatie H.Pylori (triple therapie)||Reflux oesophagitis;111880
138347;A02BC05;MIDDELEN BIJ ZUURGERELATEERDE AFWIJKINGEN;MIDDELEN BIJ ULCUS PEPTICUM EN GASTRO-OESOFAGEALE REFLUX;ESOMEPRAZOL;ESOMEPRAZOL 40 MG POEDER VOOR INJECTIE;ESOMEPRAZOL 40MG PD INJ/INF;poeder voor injectie/infusieoplossing;iv;40.00;mg/stuk;40.00;mg;Gastro-oesofageale reflux ziekte||Eradicatie H.Pylori (triple therapie)||Reflux oesophagitis;138347
388;G03CA03;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRADIOL;PROGYNOVA 1 MG DRAGEE;ESTRADIOL 1MG DRAGEE;dragee;or;1.00;mg/stuk;1.00;mg;Puberteitsinductie||Priming voorafgaand aan groeihormoontest;388
19518;G03CA03;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRADIOL;PROGYNOVA 2 MG DRAGEE;ESTRADIOL 2MG DRAGEE;dragee;or;2.00;mg/stuk;2.00;mg;Puberteitsinductie||Priming voorafgaand aan groeihormoontest;19518
93041;G03CA03;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRADIOL;SYSTEN  50 PLEISTER MGA  50 MCG/24UUR;ESTRADIOL P 50 SYSTEN;pleister voor transdermaal gebruik;transderm;3.20;mg/stuk;3.20;mg;Puberteitsinductie||Priming voorafgaand aan groeihormoontest;93041
72346;G03CA03;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRADIOL;ESTRADIOL  50 PLEISTER TRANSDERMAAL 50 MCG/24 UUR;ESTRADIOL P 50 ESTRADERM;pleister voor transdermaal gebruik;transderm;4.00;mg/stuk;4.00;mg;Puberteitsinductie||Priming voorafgaand aan groeihormoontest;72346
100633;G03CA03;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRADIOL;SYSTEN 100 PLEISTER MGA 100 MCG/24UUR;ESTRADIOL P 100 SYSTEN;pleister voor transdermaal gebruik;transderm;6.40;mg/stuk;6.40;mg;Puberteitsinductie||Priming voorafgaand aan groeihormoontest;100633
72354;G03CA03;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRADIOL;ESTRADIOL  100 PLEISTER TRANSDERMAAL 100 MCG/24 UUR;ESTRADIOL P 100 ESTRA/GENER;pleister voor transdermaal gebruik;transderm;8.00;mg/stuk;8.00;mg;Puberteitsinductie||Priming voorafgaand aan groeihormoontest;72354
130400;G03CA03;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRADIOL;CETURA 0,5 MG TABLET;ESTRADIOL 0,5MG TABLET;tablet;or;0.50;mg/stuk;0.25;mg;Puberteitsinductie||Priming voorafgaand aan groeihormoontest;130400
78123;G03CA03;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRADIOL;ESTROFEM 2 MG TABLET;ESTRADIOL 2MG TABLET;tablet;or;2.00;mg/stuk;2.00;mg;Puberteitsinductie||Priming voorafgaand aan groeihormoontest;78123
141607;G03CA03;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRADIOL;VAGIFEM VAGINAALTABLET 10MCG;ESTRADIOL 10UG TABLET VAGIN;tablet voor vaginaal gebruik;vagin;10.00;mcg/stuk;10.00;mcg;Puberteitsinductie||Priming voorafgaand aan groeihormoontest;141607
42110;G03CA04;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRIOL;SYNAPAUSE E3 1 MG/G VAGINAALCREME + APPLICATOR;ESTRIOL 1MG/G VAGINACREME;creme voor vaginaal gebruik;vagin;1.00;mg/gr;1.00;mg;Synechiae labia minora;42110
43869;G03CA04;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRIOL;SYNAPAUSE E3 VAG.ZETPIL 0,5 MG;ESTRIOL 0,5MG OVULE;ovule;vagin;0.50;mg/stuk;0.50;mg;Synechiae labia minora;43869
51098;G03CA04;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRIOL;SYNAPAUSE E3 1 MG TABLET;ESTRIOL 1MG TABLET;tablet;or;1.00;mg/stuk;1.00;mg;Synechiae labia minora;51098
51101;G03CA04;GESLACHTSHORMONEN EN MODULATOREN VAN HET GENITALE STELSEL;OESTROGENEN;ESTRIOL;SYNAPAUSE E3 2 MG TABLET;ESTRIOL 2MG TABLET;tablet;or;2.00;mg/stuk;2.00;mg;Synechiae labia minora;51101
126012;L04AB01;IMMUNOSUPPRESSIVA;IMMUNOSUPPRESSIVA;ETANERCEPT;ENBREL 50 MG/ML INJVLST WWSP 0.5 ML;ETANERCEPT 50MG/ML INJVLST;injectievloeistof;sc;50.00;mg/ml;50.00;mg;Juveniele Idiopathische Arthritis (JIA), plaque psoriasis, artritis psoriatica, enthesitis-gerelateerde artritis, erfelijke autoinflammatoire aandoeningen waaronder Hyperimmunoglobuline D syndroom (HIDS),TNF receptor geassocieerd periodiek syndroom(TRAPS);126012
139092;L04AB01;IMMUNOSUPPRESSIVA;IMMUNOSUPPRESSIVA;ETANERCEPT;ENBREL 10 MG INJPDR + SOLVENS;ETANERCEPT 10MG INJPDR;poeder voor injectievloeistof;sc;10.00;mg/stuk;10.00;mg;Juveniele Idiopathische Arthritis (JIA), plaque psoriasis, artritis psoriatica, enthesitis-gerelateerde artritis, erfelijke autoinflammatoire aandoeningen waaronder Hyperimmunoglobuline D syndroom (HIDS),TNF receptor geassocieerd periodiek syndroom(TRAPS);139092
106631;L04AB01;IMMUNOSUPPRESSIVA;IMMUNOSUPPRESSIVA;ETANERCEPT;ENBREL 25 MG INJPDR +SOLVENS 1ML;ETANERCEPT 25MG INJPDR;poeder voor injectievloeistof;sc;25.00;mg/stuk;25.00;mg;Juveniele Idiopathische Arthritis (JIA), plaque psoriasis, artritis psoriatica, enthesitis-gerelateerde artritis, erfelijke autoinflammatoire aandoeningen waaronder Hyperimmunoglobuline D syndroom (HIDS),TNF receptor geassocieerd periodiek syndroom(TRAPS);106631
17884;J04AK02;ANTIMYCOBACTERIELE MIDDELEN;TUBERCULOSEMIDDELEN;ETHAMBUTOL;MYAMBUTOL 400MG TABLET;ETHAMBUTOL 400MG TABLET;tablet;or;400.00;mg/stuk;200.00;mg;Tuberculose||Infectie door atypische mycobacterieen (bijv lymfadenitis colli);17884
2178;N03AD01;ANTI-EPILEPTICA;ANTI-EPILEPTICA;ETHOSUXIMIDE;ETHYMAL 250 MG CAPSULE;ETHOSUXIMIDE 250MG CAPSULE;capsule;or;250.00;mg/stuk;250.00;mg;Epilepsie, absences;2178
15199;N03AD01;ANTI-EPILEPTICA;ANTI-EPILEPTICA;ETHOSUXIMIDE;ETHYMAL 62,5 MG/ML SIROOP;ETHOSUXIMIDE 62MG/ML STROOP;stroop;or;62.50;mg/ml;62.50;mg;Epilepsie, absences;15199
99228;N01AX07;ANAESTHETICA;ALGEMENE ANAESTHETICA;ETOMIDAAT;ETOMIDAAT LIPURO 2 MG/ML AMPUL 10ML;ETOMIDAAT 2MG/ML INJEMULSIE;emulsie voor injectie;iv;2.00;mg/ml;2.00;mg;Anaesthesie: inductie;99228
11371;N01AX07;ANAESTHETICA;ALGEMENE ANAESTHETICA;ETOMIDAAT;HYPNOMIDATE 2MG/ML AMPUL 10ML;ETOMIDAAT 2MG/ML INJVLST;injectievloeistof;iv;2.00;mg/ml;2.00;mg;Anaesthesie: inductie;11371
53562;L01CB01;ONCOLYTICA;ALKALOIDEN EN OVERIGE NATUURLIJKE PRODUCTEN;ETOPOSIDE;VEPESID 50 MG CAPSULE;ETOPOSIDE 50MG CAPSULE;capsule;or;50.00;mg/stuk;50.00;mg;Oncologische aandoeningen;53562
39004;L01CB01;ONCOLYTICA;ALKALOIDEN EN OVERIGE NATUURLIJKE PRODUCTEN;ETOPOSIDE;VEPESID 100 MG CAPSULE;ETOPOSIDE 100MG CAPSULE;capsule;or;100.00;mg/stuk;100.00;mg;Oncologische aandoeningen;39004
38997;L01CB01;ONCOLYTICA;ALKALOIDEN EN OVERIGE NATUURLIJKE PRODUCTEN;ETOPOSIDE;TOPOSIN 100 MG = 5 ML FLACON;ETOPOSIDE 20MG/ML INF CONC;concentraat voor oplossing voor infusie;iv;20.00;mg/ml;20.00;mg;Oncologische aandoeningen;38997
138568;J05AG04;ANTIVIRALE MIDDELEN VOOR SYSTEMISCH GEBRUIK;DIRECT WERKENDE ANTIVIRALE MIDDELEN;ETRAVIRINE;INTELENCE 200 MG TABLET;ETRAVIRINE 200MG TABLET;tablet;or;200.00;mg/stuk;200.00;mg;HIV;138568
121754;L04AA18;IMMUNOSUPPRESSIVA;IMMUNOSUPPRESSIVA;EVEROLIMUS;CERTICAN 0,25 MG DISPER TABLET;EVEROLIMUS 0,25MG DISPERTAB;dispergeerbare tablet;or;0.25;mg/stuk;0.25;mg;Profylaxe afstoting niertransplantaat||Subependymaal reuscelastrocytoom (SEGA) geassocieerd met tubereuze sclerose complex (TSC) ;121754
147990;L01XE10;ONCOLYTICA;OVERIGE ONCOLYTICA;EVEROLIMUS;VOTUBIA 5 MG TABLET  DISPERGEERBAAR;EVEROLIMUS 5MG DISPERTABLET;dispergeerbare tablet;or;5.00;mg/stuk;5.00;mg;;147990
121762;L04AA18;IMMUNOSUPPRESSIVA;IMMUNOSUPPRESSIVA;EVEROLIMUS;CERTICAN 0,25 MG TABLET;EVEROLIMUS 0,25MG TABLET;tablet;or;0.25;mg/stuk;0.25;mg;Profylaxe afstoting niertransplantaat||Subependymaal reuscelastrocytoom (SEGA) geassocieerd met tubereuze sclerose complex (TSC) ;121762
121770;L04AA18;IMMUNOSUPPRESSIVA;IMMUNOSUPPRESSIVA;EVEROLIMUS;CERTICAN 0,75 MG TABLET;EVEROLIMUS 0,75MG TABLET;tablet;or;0.75;mg/stuk;0.75;mg;Profylaxe afstoting niertransplantaat||Subependymaal reuscelastrocytoom (SEGA) geassocieerd met tubereuze sclerose complex (TSC) ;121770
138576;L01XE10;ONCOLYTICA;OVERIGE ONCOLYTICA;EVEROLIMUS;AFINITOR 2,5MG TABLET;EVEROLIMUS 2,5MG TABLET;tablet;or;2.50;mg/stuk;2.50;mg;;138576
133175;L01XE10;ONCOLYTICA;OVERIGE ONCOLYTICA;EVEROLIMUS;AFINITOR  5 MG TABLET;EVEROLIMUS 5MG TABLET;tablet;or;5.00;mg/stuk;5.00;mg;;133175
133183;L01XE10;ONCOLYTICA;OVERIGE ONCOLYTICA;EVEROLIMUS;AFINITOR 10 MG TABLET;EVEROLIMUS 10MG TABLET;tablet;or;10.00;mg/stuk;10.00;mg;;133183
118575;C10AX09;ANTILIPAEMICA;ANTILIPAEMICA, ENKELVOUDIG;EZETIMIB;EZETROL 10 MG TABLET;EZETIMIB 10MG TABLET;tablet;or;10.00;mg/stuk;10.00;mg;Primaire hypercholesterolemie, Homozygote familiaire hypercholesterolemie, Homozygote sitosterolemie (Fytosterolemie);118575
99163;B02BD04;ANTIHAEMORRHAGICA;VITAMINE K EN OVERIGE HAEMOSTATICA;FACTOR IX;MONONINE 1000IE INJPDR+SOLV;FACTOR IX 1000IE INJPDR;poeder voor injectievloeistof;iv;1.000.00;IE/stuk;1.000.00;IE;LICHTE BLOEDING (beginnende haemarthros, neus- en tandvleesbloedingen, hematurie)||ERNSTIGE BLOEDING (Ernstige gewrichtsbloeding met bewegingsbeperking, spierbloedingen in boven- en onderarmen, kuit en m.iliopsas en ernstig trauma zonder manifeste bloeding)||LEVENSBEDREIGENDE BLOEDING (schedeltrauma, bloeding van de tractus digestivus, buiktrauma, bloeding met bedreiging van de luchtweg)||LICHT SCHEDELTRAUMA ( Val van <50 cm hoogte, lichte klap tegen het hoofd)||MATIG ERNSTIG SCHEDELTRAUMA ( Val van >50 cm hoogte/trap, forse klap tegen het hoofd)||ERNSTIG SCHEDELTRAUMA (Commotio of contusio cerebri)||INTRACRANIELE BLOEDING||Substitutiebehandeling bij ingrepen bij matig ernstige tot ernstige hemofilie||Profylaxe bloedingen;99163
86150;B02BD04;ANTIHAEMORRHAGICA;VITAMINE K EN OVERIGE HAEMOSTATICA;FACTOR IX;IMMUNINE BAXTER 1200 IE INJPDR + SOLVENS;FACTOR IX 1200IE INJPDR;poeder voor injectievloeistof;iv;1.200.00;IE/stuk;1.200.00;IE;LICHTE BLOEDING (beginnende haemarthros, neus- en tandvleesbloedingen, hematurie)||ERNSTIGE BLOEDING (Ernstige gewrichtsbloeding met bewegingsbeperking, spierbloedingen in boven- en onderarmen, kuit en m.iliopsas en ernstig trauma zonder manifeste bloeding)||LEVENSBEDREIGENDE BLOEDING (schedeltrauma, bloeding van de tractus digestivus, buiktrauma, bloeding met bedreiging van de luchtweg)||LICHT SCHEDELTRAUMA ( Val van <50 cm hoogte, lichte klap tegen het hoofd)||MATIG ERNSTIG SCHEDELTRAUMA ( Val van >50 cm hoogte/trap, forse klap tegen het hoofd)||ERNSTIG SCHEDELTRAUMA (Commotio of contusio cerebri)||INTRACRANIELE BLOEDING||Substitutiebehandeling bij ingrepen bij matig ernstige tot ernstige hemofilie||Profylaxe bloedingen;86150
73814;B02BD02;ANTIHAEMORRHAGICA;VITAMINE K EN OVERIGE HAEMOSTATICA;FACTOR VIII;AAFACT CI 500IE INJPD FL+SV (G251);FACTOR VIII CONC 500IE INJP;poeder voor injectievloeistof;iv;500.00;IE/stuk;500.00;IE;LICHTE BLOEDING (beginnende haemarthros, neus- en tandvleesbloedingen, hematurie)||ERNSTIGE BLOEDING (Ernstige gewrichtsbloeding met bewegingsbeperking, spierbloedingen in boven- en onderarmen, kuit en m.iliopsas en ernstig trauma zonder manifeste bloeding)||LEVENSBEDREIGENDE BLOEDING (schedeltrauma, bloeding van de tractus digestivus, buiktrauma, bloeding met bedreiging van de luchtweg)||LICHT SCHEDELTRAUMA ( Val van <50 cm hoogte, lichte klap tegen het hoofd)||MATIG ERNSTIG SCHEDELTRAUMA ( Val van >50 cm hoogte/trap, forse klap tegen het hoofd)||ERNSTIG SCHEDELTRAUMA (Commotio of contusio cerebri)||INTRACRANIELE BLOEDING||Substitutiebehandeling bij ingrepen bij matig ernstige tot ernstige hemofilie||Profylaxe bloedingen||Bloedingen bij patienten met remmers bij hemofilie A en B en ziekte van Von Willebrand;73814
73822;B02BD02;ANTIHAEMORRHAGICA;VITAMINE K EN OVERIGE HAEMOSTATICA;FACTOR VIII;AAFACT CI 1000IE INJP FLAC (G252);FACTOR VIII CONC 1000IE INJ;poeder voor injectievloeistof;iv;1.000.00;IE/stuk;1.000.00;IE;LICHTE BLOEDING (beginnende haemarthros, neus- en tandvleesbloedingen, hematurie)||ERNSTIGE BLOEDING (Ernstige gewrichtsbloeding met bewegingsbeperking, spierbloedingen in boven- en onderarmen, kuit en m.iliopsas en ernstig trauma zonder manifeste bloeding)||LEVENSBEDREIGENDE BLOEDING (schedeltrauma, bloeding van de tractus digestivus, buiktrauma, bloeding met bedreiging van de luchtweg)||LICHT SCHEDELTRAUMA ( Val van <50 cm hoogte, lichte klap tegen het hoofd)||MATIG ERNSTIG SCHEDELTRAUMA ( Val van >50 cm hoogte/trap, forse klap tegen het hoofd)||ERNSTIG SCHEDELTRAUMA (Commotio of contusio cerebri)||INTRACRANIELE BLOEDING||Substitutiebehandeling bij ingrepen bij matig ernstige tot ernstige hemofilie||Profylaxe bloedingen||Bloedingen bij patienten met remmers bij hemofilie A en B en ziekte van Von Willebrand;73822
97977;N03AX10;ANTI-EPILEPTICA;ANTI-EPILEPTICA;FELBAMAAT;TALOXA 120 MG/ML SUSPENSIE;FELBAMAAT 120MG/ML SUSPENSI;suspensie voor oraal gebruik;or;120.00;mg/ml;120.00;mg;Syndroom van Lennox-Gastault, niet reagerend op andere anti-epileptica;97977
97969;N03AX10;ANTI-EPILEPTICA;ANTI-EPILEPTICA;FELBAMAAT;TALOXA 600 MG TABLET;FELBAMAAT 600MG TABLET;tablet;or;600.00;mg/stuk;600.00;mg;Syndroom van Lennox-Gastault, niet reagerend op andere anti-epileptica;97969
13137;J01CE05;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;BETALACTAM-ANTIBIOTICA, PENICILLINES;FENETICILLINE;BROXIL 250 MG CAPSULE;FENETICILLINE 250MG CAPSULE;capsule;or;250.00;mg/stuk;250.00;mg;Niet ernstige infecties||Matig ernstige infecties||Primaire preventie groep A streptokokken bij patienten met acuut reuma||Secundaire profylaxe groep A streptokokken bij patienten met acuut reuma||Profylaxe infectie bij sikkelcelziekte/asplenie;13137
41092;J01CE05;ANTIBACTERIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;BETALACTAM-ANTIBIOTICA, PENICILLINES;FENETICILLINE;BROXIL 500 MG CAPSULE;FENETICILLINE 500MG CAPSULE;capsule;or;500.00;mg/stuk;500.00;mg;Niet ernstige infecties||Matig ernstige infecties||Primaire preventie groep A streptokokken bij patienten met acuut reuma||Secundaire profylaxe groep A streptokokken bij patienten met acuut reuma||Profylaxe infectie bij sikkelcelziekte/asplenie;41092
